repo_id,repository_name,repository_description,is_disabled,default_branch,owner_id,product_team_id,created_at,updated_at
repo-1,CONSOLE-FOOTER-MFE,CONSOLE-FOOTER-MFE,False,main,14,prodt-1,2023-06-22 06:32:14,2023-07-19T10:34:59
repo-2,CONSOLE-HEADER-MFE,CONSOLE-HEADER-MFE,False,main,27,prodt-1,2023-01-23 06:24:57,2023-03-29T01:01:39
repo-3,console-actions-workflow,console-actions-workflow,False,main,26,prodt-1,2023-03-13 15:12:23,2023-05-02T08:04:15
repo-4,core-api-service,core-api-service,False,main,13,prodt-1,2023-06-15 02:17:20,2023-07-12T11:37:13
repo-5,cpp-crh-org-service,cpp-crh-org-service,False,main,77,prodt-1,2022-08-01 13:47:40,2023-03-08T16:54:03
repo-6,cpp-crh-workflow-service,cpp-crh-workflow-service,False,main,83,prodt-1,2023-06-08 09:05:59,2023-06-19T18:24:17
repo-7,Identify,Identify,False,main,66,prodt-1,2022-08-27 22:53:21,2022-09-06T23:50:28
repo-8,identity-authn-proxy,identity-authn-proxy,False,main,17,prodt-1,2023-03-29 04:28:37,2023-03-31T07:18:34
repo-9,Platform-billing-account-service,Platform-billing-account-service,False,main,43,prodt-1,2023-04-22 14:15:58,2023-05-08T06:33:09
repo-10,Pbas-configurations,Pbas-configurations,False,main,14,prodt-1,2023-03-31 00:27:46,2023-06-02T20:11:53
repo-11,port-manager-service,port-manager-service,False,main,81,prodt-2,2023-05-08 01:02:10,2023-07-16T16:19:29
repo-12,ic-connection-management,ic-connection-management,False,main,7,prodt-2,2022-09-28 07:12:55,2023-03-13T08:58:56
repo-13,ic-connection-view-service,ic-connection-view-service,False,main,74,prodt-2,2022-10-30 05:46:26,2023-02-13T10:27:23
repo-14,ic-core-network-services,ic-core-network-services,False,main,57,prodt-2,2022-07-04 14:33:15,2022-11-17T11:48:34
repo-15,ic-product-network-manager,ic-product-network-manager,False,main,6,prodt-2,2022-10-25 13:57:38,2023-02-22T09:53:55
repo-16,ic-service-profile-service,ic-service-profile-service,False,main,23,prodt-2,2022-11-23 23:04:45,2023-01-22T10:29:13
repo-17,ic-prices-view-service,ic-prices-view-service,False,main,70,prodt-2,2022-09-06 01:10:03,2023-04-03T04:36:15
repo-18,ic-order-management,ic-order-management,False,main,5,prodt-2,2023-07-02 01:39:19,2023-07-08T15:57:42
repo-19,ix-assets-service,ix-assets-service,False,main,79,prodt-3,2023-02-15 04:23:36,2023-04-02T10:39:00
repo-20,ix-customers-service,ix-customers-service,False,main,35,prodt-3,2022-12-01 23:26:56,2022-12-03T22:54:03
repo-21,eia-composite-request-service,eia-composite-request-service,False,main,12,prodt-4,2022-11-20 11:22:36,2022-12-29T01:38:02
repo-22,mocked_inactive_repo_1,mocked_inactive_repo_1,True,main,48,prodt-1,2022-11-15 14:11:48,2023-01-03T10:55:27
repo-23,mocked_inactive_repo_2,mocked_inactive_repo_2,True,main,77,prodt-2,2023-01-09 11:08:02,2023-01-18T21:58:20
repo-24,mocked_inactive_repo_3,mocked_inactive_repo_3,True,main,6,prodt-3,2022-12-04 20:56:14,2023-04-16T11:35:14
repo-25,mocked_inactive_repo_4,mocked_inactive_repo_4,True,main,90,prodt-4,2023-02-10 03:18:57,2023-04-30T23:31:11
repo-26,mocked_inactive_repo_5,mocked_inactive_repo_5,True,main,1,prodt-2,2022-12-25 05:16:18,2023-02-05T06:43:31
repo-27,mocked_inactive_repo_6,mocked_inactive_repo_6,True,main,69,prodt-2,2023-05-27 10:41:18,2023-06-06T12:34:46
repo-28,mocked_inactive_repo_7,mocked_inactive_repo_7,True,main,79,prodt-1,2022-12-01 14:55:38,2023-02-16T13:14:17
repo-29,mocked_inactive_repo_8,mocked_inactive_repo_8,True,main,43,prodt-1,2023-04-01 15:26:18,2023-04-17T20:29:52
repo-30,mocked_inactive_repo_9,mocked_inactive_repo_9,True,main,94,prodt-5,2023-07-14 10:12:22,2023-07-17T16:05:00
repo-31,mocked_inactive_repo_10,mocked_inactive_repo_10,True,main,90,prodt-4,2023-07-14 23:10:37,2023-07-19T18:18:15
repo-32,mocked_inactive_repo_11,mocked_inactive_repo_11,True,main,91,prodt-6,2023-05-25 21:47:28,2023-06-06T19:43:56
repo-33,mocked_inactive_repo_12,mocked_inactive_repo_12,True,main,53,prodt-1,2023-01-22 07:53:38,2023-02-26T23:52:27
repo-34,mocked_inactive_repo_13,mocked_inactive_repo_13,True,main,46,prodt-6,2023-06-20 13:20:35,2023-07-14T05:38:14
