workflow_id,run_name,started_at,updated_at,main_branch,conclusion,run_number,event,converage_rate,repository_id,actor_id
workflow-9,Pull Request Labeler,2022-10-05 06:10:19,2023-07-09 01:27:54,CXF-69020,Success,2000,pull_request,0.92,repo-12,16
workflow-10,Publish Artifact,2023-01-17 13:44:50,2023-02-09 11:09:42,dev_feature_2023.4.0,Failure,844,workflow_dispatch,0.54,repo-12,10
workflow-11,QA Deploy,2022-11-16 14:28:37,2023-07-17 17:20:03,dev_feature_2023.4.0,Success,512,workflow_dispatch,0.88,repo-12,18
workflow-12,Production Deploy,2022-07-22 15:26:50,2023-07-19 13:20:05,dev_feature_2023.3.0,Success,36,workflow_dispatch,0.97,repo-12,18
workflow-13,UAT1 Deploy,2022-10-25 19:04:02,2023-07-17 21:03:09,dev_feature_2023.4.0,Success,134,workflow_dispatch,1.0,repo-12,23
workflow-14,UAT2 Deploy,2022-10-05 13:19:02,2023-06-30 19:38:16,dev_feature_2023.3.0,Success,75,workflow_dispatch,1.0,repo-12,18
workflow-15,Code coverage report,2023-02-13 15:39:56,2023-06-05 13:33:58,dev_feature_2022.6.0,Success,99,workflow_dispatch,1.0,repo-12,24
workflow-16,Publish Artifact with Jacoco,2022-09-03 11:49:42,2023-03-24 01:57:37,dev_feature_2022.6.0,Success,81,workflow_dispatch,0.92,repo-12,24
workflow-17,DR Deploy,2022-12-30 17:33:50,2023-03-21 12:49:29,dev_feature_2022.5.0,Success,4,workflow_dispatch,0.9,repo-12,25
workflow-18,QA_Deploy_And_Run_E2E,2022-12-12 15:33:20,2023-06-29 16:43:04,dev_feature_2022.6.0,Failure,21,workflow_dispatch,0.67,repo-12,24
workflow-19,Full Deploy,2022-07-26 08:07:14,2023-07-15 08:42:30,dev_feature_2023.1.0_full_cicd,Failure,86,workflow_dispatch,0.56,repo-12,24
workflow-20,Pull Request Labeler,2023-06-11 13:34:11,2023-07-02 14:03:53,renovate/fabric-api.model.version,Success,1375,pull_request,0.99,repo-12,26
workflow-21,Stage Merge Request build,2022-07-31 11:49:44,2023-04-20 18:26:35,renovate/fabric-api.model.version,Success,1387,pull_request,1.0,repo-12,26
workflow-24,QA3 Deploy ArgoCD,2022-11-09 03:44:49,2023-07-17 10:59:26,master,Success,4,workflow_dispatch,1.0,repo-12,23
workflow-22,Stage Publish - Release,2023-04-12 06:04:15,2023-05-02 23:06:36,master,Success,1,workflow_dispatch,1.0,repo-13,29
workflow-23,Stage Publish,2023-05-27 06:16:15,2023-07-12 21:51:32,master,Success,175,push,1.0,repo-13,29
workflow-25,UAT1 Deploy ArgoCD,2023-03-10 14:06:28,2023-07-16 20:06:12,master,Success,2,workflow_dispatch,1.0,repo-13,23
workflow-33,Pull Request Labeler,2023-06-13 14:15:26,2023-07-06 10:28:44,update-2023.2.0-release,Success,145,pull_request,0.94,repo-14,44
workflow-34,Merge Request Build,2023-05-01 01:01:38,2023-07-14 02:10:20,update-2023.2.0-release,Success,126,pull_request,1.0,repo-14,44
workflow-35,PROD Deploy,2022-08-26 19:40:36,2023-06-04 04:15:29,dev_feature_2023.2.0,Success,16,workflow_dispatch,1.0,repo-14,44
workflow-36,DR Deploy,2022-08-18 23:05:36,2023-07-12 22:13:51,dev_feature_2022.5.0,Success,1,workflow_dispatch,1.0,repo-14,44
workflow-37,Publish Artifact,2023-03-16 21:47:58,2023-06-07 12:13:15,dev_feature_2023.2.0,Success,63,push,1.0,repo-14,44
workflow-38,QA Deploy,2022-08-16 17:37:31,2023-07-13 09:20:09,dev_feature_2023.2.0,Success,40,workflow_dispatch,1.0,repo-14,44
workflow-39,UATI Deploy,2022-09-08 10:25:12,2023-07-05 07:41:23,dev_feature_2023.2.0,Success,13,workflow_dispatch,1.0,repo-14,44
workflow-40,UAT2 Deploy,2022-12-04 02:04:35,2023-07-18 14:33:57,dev_feature_2023.2.0,Success,6,workflow_dispatch,1.0,repo-14,44
workflow-26,Pull Request Labeler,2022-08-24 19:41:42,2023-04-01 16:29:21,CXF-69669,Success,57,pull_request,1.0,repo-18,38
workflow-27,Merge Request Build,2023-01-29 16:21:50,2023-02-25 07:07:29,CXF-69669,Success,57,pull_request,1.0,repo-18,38
workflow-28,Production Deploy,2022-09-26 08:05:08,2023-01-28 15:28:16,dev_feature_2023.2.0,Success,2,workflow_dispatch,0.95,repo-18,43
workflow-29,Publish Artifact,2022-09-03 21:47:46,2022-11-25 01:03:44,dev_feature_2023.2.0,Success,67,workflow_dispatch,0.9,repo-18,43
workflow-30,QA Deploy,2022-07-29 20:10:23,2023-06-30 06:05:02,dev_feature_2023.3.0,Success,27,workflow_dispatch,0.98,repo-18,38
workflow-31,UAT1 Deploy,2022-11-25 13:37:09,2023-07-18 01:25:49,dev_feature_2023.3.0,Success,13,Workflow_dispatch,1.0,repo-18,38
workflow-32,UAT2 Deploy,2022-09-23 23:43:49,2023-07-11 23:55:33,dev_feature_2023.2.0,Success,5,workflow_dispatch,1.0,repo-18,43
workflow-46,Pull Request Labeler,2022-07-08 09:06:22,2023-04-08 17:39:07,download-csv,Success,139,pull_request,0.87,repo-18,49
workflow-41,Stage Merge Request build,2023-07-14 22:11:28,2023-07-16 21:05:54,renovate/fabric-api.model.version,Success,488,pull_request,1.0,repo-16,26
workflow-42,Pull Request Labeler,2023-07-19 13:41:03,2023-07-19 15:04:35,renovate/fabric-api.model.version,Success,565,pull_request,1.0,repo-16,26
workflow-43,Stage Publish,2023-02-18 11:15:58,2023-02-18 14:16:46,master,Success,165,push,1.0,repo-16,44
workflow-44,Dev Feature - Pull Request Labeler,2023-02-04 12:29:59,2023-02-14 20:24:27,CFX-42022,Success,12,push,0.94,repo-16,29
workflow-45,Continuous Deploy from build to UAT1,2022-07-18 02:39:11,2023-07-19 22:58:09,CICD-Workflow-2,Failure,87,workflow_dispatch,0.8,repo-16,46
workflow-1,Pull Request Labeler,2023-06-10 16:48:51,2023-06-17 13:56:57,cp_4.0,Success,985,pull_request,0.9,repo-11,10
workflow-2,Stage Merge Request build - GHA,2022-08-16 06:21:32,2022-08-31 12:44:17,cp_4.0,Success,985,pull_request,0.95,repo-11,10
workflow-3,Production Deploy,2022-09-10 01:58:36,2023-04-22 16:54:26,dev_feature_2023.3.0,Success,113,workflow_dispatch,0.93,repo-11,11
workflow-4,DR Deploy,2022-07-29 23:42:38,2023-04-16 01:29:48,dev_feature_2022.5.0,Success,5,workflow_dispatch,1.0,repo-11,14
workflow-5,Publish - GHA,2022-09-25 05:31:23,2023-02-19 15:48:05,dev_feature_2023.4.0,Success,288,push,0.7,repo-11,10
workflow-6,QA Deploy,2022-09-30 21:33:23,2023-04-26 05:30:21,dev_feature_2023.4.0,Success,213,workflow_dispatch,0.65,repo-11,10
workflow-7,UATI Deploy,2022-08-27 22:34:48,2023-07-19 20:09:50,dev_feature_2023.3.0,Success,15,workflow_dispatch,0.88,repo-11,14
workflow-8,UAT2 Deploy,2022-07-05 06:27:39,2023-07-09 07:50:24,dev_feature_2023.3.0,Success,16,workflow_dispatch,0.78,repo-11,10
workflow-47,On Merge Sonar,2022-11-27 02:17:21,2023-01-02 17:04:46,master,Success,19,push,1.0,repo-19,53
workflow-48,Build and deploy,2022-07-02 03:36:55,2023-04-25 02:40:26,master,Success,47,push,1.0,repo-19,53
workflow-49,PR Label,2023-03-20 02:28:46,2023-06-01 04:53:39,feature/IXF-6774,Success,77,pull_request,1.0,repo-19,53
workflow-50,PR checks,2023-05-10 07:54:44,2023-07-10 19:33:09,feature/IXF-6774,Success,77,pull_request,1.0,repo-19,53
workflow-51,On Merge Sonar,2023-01-15 06:16:45,2023-04-09 02:21:50,master,Success,79,push,1.0,repo-20,54
workflow-52,Build and deploy,2022-07-28 18:48:05,2023-06-21 22:46:30,master,Success,151,push,1.0,repo-20,54
workflow-53,PR Label,2023-03-03 19:39:54,2023-04-29 15:05:51,feature/IXF-6759,Success,207,pull_request,1.0,repo-20,54
workflow-54,PR checks,2023-05-18 10:53:39,2023-07-12 22:15:45,feature/IXF-6759,Success,207,pull_request,0.99,repo-20,54
workflow-55,Deploy application automatically,2023-01-28 15:37:11,2023-05-31 17:14:42,v0.0478,Success,465,push,0.98,repo-21,56
workflow-56,Deploy application manually,2023-06-21 23:22:35,2023-07-17 16:39:55,master,Success,10,workflow_dispatch,0.97,repo-21,61
workflow-57,Deploy application automatically,2022-09-01 14:20:18,2023-07-08 09:33:41,v0.0478-INT,Success,285,push,0.96,repo-21,56
workflow-58,Deploy application automatically,2023-01-15 17:13:42,2023-07-18 22:53:54,v0.0478-QA,Success,266,push,0.94,repo-21,56
workflow-59,Manual deployment to PREPROD,2022-09-13 17:56:24,2022-11-20 09:09:49,master,Success,14,workflow_dispatch,0.92,repo-21,61
workflow-60,Manual deployment to PROD,2023-05-03 14:20:43,2023-07-06 10:47:14,master,Success,31,workflow_dispatch,0.95,repo-21,62
workflow-61,Manual deployment to UAT,2023-05-21 13:23:32,2023-05-30 15:05:40,master,Success,44,workflow_dispatch,0.97,repo-21,64
workflow-62,Publish artifacts,2022-10-14 02:19:35,2023-06-11 12:35:01,master,Success,561,push,0.96,repo-21,62
workflow-63,PR Label,2022-10-14 16:17:15,2023-06-16 16:13:56,EIA-2518-fetch-exisiting-service,Success,1212,pull_request,0.99,repo-21,66
workflow-64,PR checks,2022-07-16 00:45:30,2023-07-15 15:30:30,EIA-2518-fetch-exisiting-service,Success,2171,pull_request,1.0,repo-21,66
workflow-65,Show Me the Info,2022-07-23 11:46:14,2022-09-06 00:01:57,feature/EC20-1662_test,Success,5,push,1.0,repo-21,62
workflow-66,Test,2023-04-24 13:27:30,2023-04-29 12:56:28,feature/EC20-466-liquidbase,Failure,14,pull_request,0.2,repo-21,64
